candidate_id,source_dataset,installation_code,installation_name,district,municipality,generation_type,capacity_mva_or_mw,capacity_field,facility_type,lat,lon,assigned_bus_index,assigned_bus_name,assigned_bus_voltage_kv,assignment_status,assignment_confidence,publication_allowed,notes,dispatch_proxy_class,dispatch_reason,pmax_mw_proxy,pmin_mw_proxy,cost_status
GENCAND_capacidade-rececao-rnd_0202S5050400_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0202S5050400,ALMODÔVAR,Beja,Almodôvar,grid_connection_capacity_proxy,0.58787,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.4828475610126,-8.02963783369681,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1501S5053900_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1501S5053900,VALE DE GAIO,Setúbal,Alcácer do Sal,grid_connection_capacity_proxy,14.44272,potencia_de_ligacao_ligado_mva_rari,SE_AT,38.2665137489847,-8.31516483707305,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0205S5050100_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0205S5050100,BEJA,Beja,Beja,grid_connection_capacity_proxy,26.811390000000003,potencia_de_ligacao_ligado_mva_rari,SE_AT,38.0114871410258,-7.87237439066746,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0704S5041600_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0704S5041600,ESTREMOZ,Évora,Estremoz,grid_connection_capacity_proxy,35.44625,potencia_de_ligacao_ligado_mva_rari,SE_AT,38.8507017914552,-7.59424104788954,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1203S5650400_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1203S5650400,MARANHÃO,Portalegre,Avis,grid_connection_capacity_proxy,15.54698,potencia_de_ligacao_ligado_mva_rari,SE_AT,39.0154827030867,-7.97699504060313,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1207S5767100_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1207S5767100,ALCÁÇOVA,Portalegre,Elvas,grid_connection_capacity_proxy,29.59831,potencia_de_ligacao_ligado_mva_rari,SE_AT,38.887179926942,-7.16938433645039,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1202S5901700_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1202S5901700,ARRONCHES,Portalegre,Arronches,grid_connection_capacity_proxy,10.04905,potencia_de_ligacao_ligado_mva_rari,SE_AT,39.1151766663362,-7.28885852195264,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0703S5040900_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0703S5040900,BORBA,Évora,Borba,grid_connection_capacity_proxy,21.63352,potencia_de_ligacao_ligado_mva_rari,SE_AT,38.7925168185332,-7.46669169837766,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0713S5900400_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0713S5900400,VIANA DO ALENTEJO,Évora,Viana do Alentejo,grid_connection_capacity_proxy,8.934230000000001,potencia_de_ligacao_ligado_mva_rari,SE_AT,38.3300482672205,-7.97698525610707,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0706S5041300_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0706S5041300,MONTEMOR,Évora,Montemor-o-Novo,grid_connection_capacity_proxy,12.62514,potencia_de_ligacao_ligado_mva_rari,SE_AT,38.6450090764669,-8.20047752401494,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
