generator_id,bus_id,scenario_family,variant_id,scenario_value,dispatch_mw,dispatch_share_of_total_gen,dispatch_positive_flag,top_dispatch_flag,import_dependence_flag,dispatch_proxy_class,cost_class,source_scenario_id
GENCAND_capacidade-rececao-rnd_1106S5716600_potencia_de_ligacao_ligado_mva_rari,441,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,0.5473099992200265,0.004678697008997111,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5800000_potencia_de_ligacao_ligado_mva_rari,445,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.866489221283546e-10,4.160133854010331e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5815000_potencia_de_ligacao_ligado_mva_rari,449,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.866489339009972e-10,4.160133954649143e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5907000_potencia_de_ligacao_ligado_mva_rari,455,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.866489337738354e-10,4.1601339535620964e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1107P5728100_potencia_de_ligacao_ligado_mva_rari,458,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,55.357850005220286,0.4732283488572115,True,True,True,import_interface_proxy,import_interface,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5430000_potencia_de_ligacao_ligado_mva_rari,474,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,22.709069999220027,0.19412921019874002,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5727400_potencia_de_ligacao_ligado_mva_rari,476,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,13.411809999220026,0.1146512861413335,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5902500_potencia_de_ligacao_ligado_mva_rari,478,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,9.197719999220029,0.07862700318150707,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5905600_potencia_de_ligacao_ligado_mva_rari,480,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,8.088289999220027,0.06914300539215745,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1116S5340000_potencia_de_ligacao_ligado_mva_rari,542,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,2.4919799992200247,0.02130277061527644,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
