generator_id,source_id,name,generation_source,bus_id,p_mw,q_mvar,p_status,q_status,operating_point_status
GEN:00969,OSM:node:1110200064,,wind,BUS:EREDES:0609P5021200:60,1.6966281109764676,-0.16027948478925294,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00970,OSM:node:1110200073,,wind,BUS:EREDES:0609P5021200:60,1.6966281109764676,-0.16027948478925294,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00971,OSM:way:1227840429,Central Hidroelétrica da Barroca,hydro,BUS:OSM:way:340910721:150,2.1719674097715176,-0.36499301000766105,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00972,OSM:node:1110200085,,wind,BUS:EREDES:0609P5021200:60,1.6966281109764676,-0.16027948478925294,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00973,OSM:way:1227616891,Aproveitamento Hidroelétrico de Agilde,hydro,BUS:EREDES:1301S5008700:60,2.1719674097715176,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00974,OSM:way:1227567397,Aproveitamento Hidroelétrico de Candemil,hydro,BUS:EREDES:1301S5020200:60,2.1719674097715176,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00975,OSM:node:1112084431,,wind,BUS:OSM:way:151166980:220,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00976,OSM:node:1112084436,,wind,BUS:OSM:way:151166980:220,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00977,OSM:way:506581577,Central Fotovoltaica do Seixal 1,solar,BUS:EREDES:1503S5021300:60,0.005593569006132073,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00978,OSM:node:1116718941,,wind,BUS:EREDES:0604S5005400:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00979,OSM:node:1116718931,,wind,BUS:EREDES:0604S5005400:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00980,OSM:node:1116718932,,wind,BUS:EREDES:0604S5005400:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00981,OSM:node:1116718933,,wind,BUS:EREDES:0615S5010500:60,1.6966281109764676,0.10844695969923283,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00982,OSM:node:1116718934,,wind,BUS:EREDES:0615S5010500:60,1.6966281109764676,0.10844695969923283,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00983,OSM:node:1116718936,,wind,BUS:EREDES:0615S5010500:60,1.6966281109764676,0.10844695969923283,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00984,OSM:node:1116718938,,wind,BUS:EREDES:0615S5010500:60,1.6966281109764676,0.10844695969923283,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00985,OSM:node:1116718943,,wind,BUS:EREDES:0604S5005400:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00986,OSM:node:1112084440,,wind,BUS:OSM:way:151166980:220,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00987,OSM:node:1116718945,,wind,BUS:EREDES:0604S5005400:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00988,OSM:node:1583389243,,wind,BUS:EREDES:1109S5902500:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00989,OSM:node:1583389302,,wind,BUS:EREDES:1109S5902500:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00990,OSM:node:1605606882,,wind,BUS:EREDES:1111S5200000:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00991,OSM:node:1605606897,,wind,BUS:EREDES:1111S5200000:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00992,OSM:node:1605606899,,wind,BUS:EREDES:1111S5200000:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00993,OSM:node:1116718930,,wind,BUS:EREDES:0604S5005400:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00994,OSM:node:1116718929,,wind,BUS:EREDES:0604S5005400:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00995,OSM:node:1116686805,,wind,BUS:EREDES:0912S5008200:60,1.6966281109764676,-0.24258773017471583,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00996,OSM:node:1116686796,,wind,BUS:EREDES:0912S5008200:60,1.6966281109764676,-0.24258773017471583,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00997,OSM:node:1116686771,,wind,BUS:EREDES:0912S5008200:60,1.6966281109764676,-0.24258773017471583,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
