load_id,bus_id,p_mw,q_mvar,observed_p_mw,ren_residual_p_mw,power_factor,substation_name,facility_code,timestamp,source_status,reactive_power_status,network_connection_status,in_service_scenario,operating_point_status
LOAD:00298,BUS:EREDES:1317S5009600:60,20.61,5.165352897924987,20.61,0.0,0.97,SERRA DO PILAR,1317S5009600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00299,BUS:EREDES:1317S5011900:60,15.74,3.944815847323595,15.74,0.0,0.97,SANTA MARINHA,1317S5011900,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00300,BUS:EREDES:1317S5020400:60,23.54,5.89968011728065,23.54,0.0,0.97,SERZEDO,1317S5020400,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00301,BUS:EREDES:1318S5020300:60,30.31,7.596402054153632,30.31,0.0,0.97,MURO,1318S5020300,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00302,BUS:EREDES:1401S5636700:60,34.14,8.556290535427417,34.14,0.0,0.97,OLHO BOI,1401S5636700,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00303,BUS:EREDES:1402S5568200:60,16.48,4.130277329345162,16.48,0.0,0.97,VILA MOREIRA,1402S5568200,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00304,BUS:EREDES:1403S5799800:60,24.7,6.190403521530674,24.7,0.0,0.97,ALMEIRIM,1403S5799800,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00305,BUS:EREDES:1404S5904400:60,6.65,1.6666471019505662,6.65,0.0,0.97,ALPIARÇA,1404S5904400,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00306,BUS:EREDES:1405S5680800:60,26.07,6.533757886894926,26.07,0.0,0.97,CARRASCAL,1405S5680800,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00307,BUS:EREDES:1405S5906000:60,9.79,2.4536052824204573,9.79,0.0,0.97,BENAVENTE,1405S5906000,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00308,BUS:EREDES:1406S5192700:60,20.5617,5.1532477768687155,20.5617,0.0,0.97,CRUZ DO CAMPO,1406S5192700,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00309,BUS:EREDES:1406S5900900:60,12.09,3.030039618433435,12.09,0.0,0.97,CARTAXO NORTE,1406S5900900,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00310,BUS:EREDES:1409S5568300:60,16.13,4.042559060821448,16.13,0.0,0.97,CORUCHE,1409S5568300,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00311,BUS:EREDES:1410S5625300:60,21.99,5.511213499532774,21.99,0.0,0.97,ENTRONCAMENTO,1410S5625300,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00312,BUS:EREDES:1413S5585200:60,3.86,0.9674071900043888,3.86,0.0,0.97,BELVER,1413S5585200,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
