bus_id,voltage_kv,lon,lat,facility_id,facility_name,facility_code,facility_type,source,source_status,endpoint_match_distance_m
BUS:JUNCTION:60:03111,60,-8.477228444356772,40.42839404820618,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03112,60,-8.63217531512759,40.96665341555093,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03113,60,-8.536260170323203,40.821290228441605,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03114,60,-8.569918070697248,40.700927528381236,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03115,60,-8.561746960260846,40.77611422113189,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03116,60,-8.568138948972726,40.73746851929691,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1701S5003400:60,60,-7.5418410227368,41.1933313490469,EREDES:1701S5003400,PINHÃO,1701S5003400,substation,E-REDES,DIRECT_EREDES,26.8892026094476
BUS:JUNCTION:60:03118,60,-7.761072491040102,41.279551794632944,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03119,60,-7.753331856722343,41.46374340600818,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03121,60,-7.57677267153821,41.59652380483332,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03122,60,-7.807912798804592,41.45972415629124,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1703S5002100:60,60,-7.56847607584034,41.6411898790134,EREDES:1703S5002100,VIDAGO,1703S5002100,substation,E-REDES,DIRECT_EREDES,35.45607371462489
BUS:EREDES:1309S5000700:60,60,-8.36281937740724,41.2837341078485,EREDES:1309S5000700,PAÇOS DE FERREIRA,1309S5000700,substation,E-REDES,DIRECT_EREDES,7.326268585162827
BUS:JUNCTION:60:03125,60,-8.557423834432907,41.240124702257916,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03126,60,-8.550151837540893,41.190681175100984,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03127,60,-8.56757850976506,41.17430739615451,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1315S5007300:60,60,-8.535870893396,41.2262209908111,EREDES:1315S5007300,ALFENA,1315S5007300,substation,E-REDES,DIRECT_EREDES,30.530772321235435
BUS:JUNCTION:60:03129,60,-8.559138222127213,41.233439388118384,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03130,60,-8.61852012461636,41.09053083642435,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03131,60,-8.674500056169107,41.18215722719467,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1308S5002600:60,60,-8.67756344606841,41.187853441031,EREDES:1308S5002600,MATOSINHOS,1308S5002600,substation,E-REDES,DIRECT_EREDES,19.18306538333186
BUS:EREDES:1608S5006800:60,60,-8.63403473046996,42.025769606762,EREDES:1608S5006800,VALENÇA,1608S5006800,substation,E-REDES,DIRECT_EREDES,8.540819657713673
BUS:JUNCTION:60:03134,60,-8.771248262674273,41.67263325716685,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03135,60,-8.463254602744424,41.44330567465705,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03136,60,-8.23401786037573,41.4564650725048,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03137,60,-8.636485981649436,41.157779663043236,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03139,60,-8.737148795235033,38.60104168280986,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03140,60,-8.649844297673761,38.6530445285203,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03141,60,-8.860284305645449,38.55990373299033,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03142,60,-9.069400184197901,38.864917200967575,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03143,60,-9.067694763881,38.86825780450216,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03144,60,-9.051606565813994,38.88644725355786,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03145,60,-9.110377642622705,38.89070729954046,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03146,60,-9.323991387183497,38.735212467394504,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03147,60,-8.763071520849097,37.73748814177687,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03148,60,-7.616808752073664,38.0414019189901,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03149,60,-7.858593697515627,41.69819882370998,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03150,60,-7.840501059457511,41.70583198138978,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03151,60,-7.809507036095052,41.718897286699246,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03152,60,-8.82247106625482,37.104186935784895,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03153,60,-8.859336143995346,37.09815931211341,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03154,60,-8.771481389946944,37.323128191570596,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03155,60,-7.109235134876749,41.24072544558714,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
