facility_id,source,source_status,facility_type,name,normalized_name,code,voltage_kv,lon,lat,tags_json
OSM:way:539470509,OpenStreetMap,DIRECT_OSM,substation,Posto de Transição de Valongo,de transicao de valongo,PTVLG,220,-8.5282142625,41.211444400000005,"{""barrier"": ""fence"", ""landuse"": ""industrial"", ""name"": ""Posto de Transição de Valongo"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""PTVLG"", ""ref_name"": ""Valongo"", ""start_date"": ""2011"", ""substation"": ""transition"", ""voltage"": ""220000""}"
OSM:way:541036600,OpenStreetMap,DIRECT_OSM,substation,Subestação de Fafe,de fafe,SFAF,150,-8.20188233846154,41.42513526923077,"{""barrier"": ""fence"", ""landuse"": ""industrial"", ""location"": ""outdoor"", ""name"": ""Subestação de Fafe"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""SFAF"", ""ref_name"": ""Fafe"", ""start_date"": ""2014"", ""substation"": ""transmission"", ""voltage"": ""150000;60000""}"
OSM:way:542145772,OpenStreetMap,DIRECT_OSM,substation,Subestação do Sub-parque Eólico de Moimenta,do sub parque eolico de moimenta,,400,-7.688922184615384,40.97378335384615,"{""barrier"": ""fence"", ""location"": ""outdoor"", ""name"": ""Subestação do Sub-parque Eólico de Moimenta"", ""operator"": ""Finerge"", ""power"": ""substation"", ""substation"": ""transmission"", ""voltage"": ""400000;60000""}"
OSM:way:648169311,OpenStreetMap,DIRECT_OSM,substation,Subestação da Central Hidroelétrica de Alqueva 2,da central hidroeletrica de alqueva 2,,400,-7.497038104347825,38.19384673478261,"{""location"": ""overground"", ""name"": ""Subestação da Central Hidroelétrica de Alqueva 2"", ""power"": ""substation"", ""substation"": ""generation"", ""voltage"": ""400000;15000""}"
OSM:way:690953979,OpenStreetMap,DIRECT_OSM,substation,Subestação de Valpaços,de valpacos,SVPC,220,-7.408502824999999,41.67687684166666,"{""barrier"": ""fence"", ""ele"": ""800"", ""landuse"": ""industrial"", ""name"": ""Subestação de Valpaços"", ""note"": ""220/60kV Sources: http://siaia.apambiente.pt/AIADOC/AIA2101/RNT2101.pdf http://siaia.apambiente.pt/AIADOC/AIA1942/RNT1942.pdf"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""SVPC"", ""ref_name"": ""Valpaços"", ""source"": ""aerial imagery"", ""start_date"": ""2012"", ""substation"": ""transmission"", ""voltage"": ""220000;60000""}"
OSM:way:694016335,OpenStreetMap,DIRECT_OSM,substation,Subestação de Vila Nova de Famalicão,de vila nova de famalicao,SVNF,400,-8.613068700000001,41.35798188666667,"{""landuse"": ""industrial"", ""name"": ""Subestação de Vila Nova de Famalicão"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""SVNF"", ""ref_name"": ""Vila Nova de Famalicão"", ""start_date"": ""2015"", ""substation"": ""transmission"", ""voltage"": ""400000;60000""}"
OSM:way:742612300,OpenStreetMap,DIRECT_OSM,substation,Subestação de Tração do Alandroal,de tracao do alandroal,,400,-7.2765825,38.73887533333333,"{""barrier"": ""fence"", ""landuse"": ""industrial"", ""name"": ""Subestação de Tração do Alandroal"", ""operator"": ""Infraestruturas de Portugal"", ""operator:short"": ""IP"", ""operator:wikidata"": ""Q20730106"", ""operator:wikipedia"": ""pt:Infraestruturas de Portugal"", ""power"": ""substation"", ""substation"": ""traction"", ""voltage"": ""400000;25000""}"
OSM:way:751560789,OpenStreetMap,DIRECT_OSM,substation,Subestação da Feira,da feira,SFRA,400,-8.460909019999999,40.95974073,"{""barrier"": ""fence"", ""location"": ""outdoor"", ""name"": ""Subestação da Feira"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""SFRA"", ""ref_name"": ""Feira"", ""start_date"": ""2013"", ""substation"": ""transmission"", ""voltage"": ""400000;60000""}"
OSM:way:753364578,OpenStreetMap,DIRECT_OSM,substation,Posto de Corte de Vieira do Minho,de vieira do minho,PCVRM,400,-8.030314559999999,41.67106344,"{""barrier"": ""fence"", ""landuse"": ""industrial"", ""name"": ""Posto de Corte de Vieira do Minho"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""PCVRM"", ""ref_name"": ""Vieira do Minho"", ""start_date"": ""2014"", ""substation"": ""switching"", ""voltage"": ""400000""}"
OSM:way:754137798,OpenStreetMap,DIRECT_OSM,substation,Subestação de Montenegrelo,de montenegrelo,,220,-7.6242977,41.47153873333333,"{""barrier"": ""fence"", ""name"": ""Subestação de Montenegrelo"", ""operator"": ""EDP Renováveis"", ""operator:en"": ""EDP Renewables"", ""operator:pt"": ""EDP Renováveis"", ""operator:short"": ""EDPR"", ""operator:wikidata"": ""Q1274362"", ""power"": ""substation"", ""ref_name"": ""Montenegrelo"", ""substation"": ""transmission"", ""voltage"": ""220000;60000""}"
OSM:way:767739005,OpenStreetMap,DIRECT_OSM,substation,Subestação de Gouvães,de gouvaes,,400,-7.7656295375,41.537671875,"{""alt_name"": ""Posto de Corte de Gouvães"", ""barrier"": ""fence"", ""landuse"": ""industrial"", ""name"": ""Subestação de Gouvães"", ""operator"": ""Iberdrola"", ""operator:wikidata"": ""Q1437502"", ""power"": ""substation"", ""ref:PT:apa:aia"": ""2148"", ""ref_name"": ""Gouvães"", ""substation"": ""transmission"", ""voltage"": ""400000""}"
OSM:way:768087809,OpenStreetMap,DIRECT_OSM,substation,Posto de Corte do Alto Tâmega,do alto tamega,,400,-7.729067481818182,41.571203363636364,"{""barrier"": ""fence"", ""name"": ""Posto de Corte do Alto Tâmega"", ""operator"": ""Iberdrola"", ""operator:wikidata"": ""Q1437502"", ""power"": ""substation"", ""ref_name"": ""Alto Tâmega"", ""substation"": ""switching"", ""voltage"": ""400000""}"
OSM:way:771616113,OpenStreetMap,DIRECT_OSM,substation,Subestação da Central Hidroelétrica do Baixo Sabor - Escalão de Montante,da central hidroeletrica do baixo sabor escalao de montante,,220,-7.014709976923077,41.228044546153846,"{""landuse"": ""industrial"", ""location"": ""outdoor"", ""name"": ""Subestação da Central Hidroelétrica do Baixo Sabor - Escalão de Montante"", ""operator"": ""Movhera"", ""power"": ""substation"", ""ref_name"": ""Central do Baixo Sabor"", ""substation"": ""generation"", ""voltage"": ""220000""}"
OSM:way:791358190,OpenStreetMap,DIRECT_OSM,substation,Subestação da Central Solar de Alcoutim,da central solar de alcoutim,,400,-7.6994223125,37.3825588375,"{""location"": ""outdoor"", ""name"": ""Subestação da Central Solar de Alcoutim"", ""operator"": ""WElink Energy/Solara4"", ""power"": ""substation"", ""ref_name"": ""Alcoutim"", ""substation"": ""generation"", ""voltage"": ""400000""}"
OSM:way:810172047,OpenStreetMap,DIRECT_OSM,substation,Subestação de Tração de Fatela,de tracao de fatela,,220,-7.418708025,40.145677475,"{""barrier"": ""fence"", ""landuse"": ""industrial"", ""location"": ""outdoor"", ""name"": ""Subestação de Tração de Fatela"", ""operator"": ""Infraestruturas de Portugal"", ""operator:short"": ""IP"", ""operator:wikidata"": ""Q20730106"", ""operator:wikipedia"": ""pt:Infraestruturas de Portugal"", ""power"": ""substation"", ""substation"": ""traction"", ""voltage"": ""220000;25000""}"
OSM:way:813954335,OpenStreetMap,DIRECT_OSM,substation,Subestação de Alcochete,de alcochete,SACT,400,-8.89949458125,38.7016486625,"{""location"": ""outdoor"", ""name"": ""Subestação de Alcochete"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""SACT"", ""ref_name"": ""Alcochete"", ""start_date"": ""2017"", ""substation"": ""transmission"", ""voltage"": ""400000;60000""}"
OSM:way:896147942,OpenStreetMap,DIRECT_OSM,substation,Subestação do Alto de São João,do alto de sao joao,SASJ,220,-9.1240292625,38.731764975000004,"{""barrier"": ""fence"", ""name"": ""Subestação do Alto de São João"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""SASJ"", ""ref_name"": ""Alto de São João"", ""start_date"": ""2015"", ""substation"": ""transmission"", ""voltage"": ""220000;60000""}"
OSM:way:942744960,OpenStreetMap,DIRECT_OSM,substation,Subestação de Tração de Vila Fria,de tracao de vila fria,,150,-8.7509470625,41.65401795,"{""barrier"": ""fence"", ""landuse"": ""industrial"", ""name"": ""Subestação de Tração de Vila Fria"", ""operator"": ""Infraestruturas de Portugal"", ""operator:short"": ""IP"", ""operator:wikidata"": ""Q20730106"", ""operator:wikipedia"": ""pt:Infraestruturas de Portugal"", ""power"": ""substation"", ""ref_name"": ""Vila Fria (RFN)"", ""substation"": ""traction"", ""voltage"": ""150000;25000""}"
OSM:way:964625644,OpenStreetMap,DIRECT_OSM,substation,Subestação de Ribeira de Pena,de ribeira de pena,SRBP,400,-7.811921376923077,41.55027871538462,"{""barrier"": ""fence"", ""landuse"": ""industrial"", ""location"": ""outdoor"", ""name"": ""Subestação de Ribeira de Pena"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""substation"", ""ref"": ""SRBP"", ""ref_name"": ""Ribeira de Pena"", ""start_date"": ""2021"", ""substation"": ""switching"", ""voltage"": ""400000""}"
