table,id,field,core,working,change
lines,LINE:001726,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001727,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001727,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001727,max_i_ka,0.46115,0.451,CHANGED
lines,LINE:001727,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001728,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001728,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001728,max_i_ka,0.46115,0.451,CHANGED
lines,LINE:001728,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001729,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001729,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001729,max_i_ka,0.46115,0.451,CHANGED
lines,LINE:001729,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001736,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001736,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001736,max_i_ka,0.4416,0.544,CHANGED
lines,LINE:001736,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001738,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001738,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001738,max_i_ka,0.4416,0.544,CHANGED
lines,LINE:001738,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001740,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001740,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001740,max_i_ka,0.6014499999999999,0.723,CHANGED
lines,LINE:001740,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001741,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001741,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001741,max_i_ka,0.6014499999999999,0.723,CHANGED
lines,LINE:001741,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001753,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001753,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001753,max_i_ka,0.30015,0.362,CHANGED
lines,LINE:001753,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001766,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001766,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001766,max_i_ka,0.6969,0.686,CHANGED
lines,LINE:001766,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001771,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001771,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001771,max_i_ka,0.6014499999999999,0.723,CHANGED
lines,LINE:001771,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001781,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001781,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001781,max_i_ka,0.5450999999999999,0.582,CHANGED
lines,LINE:001781,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001795,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001795,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001795,max_i_ka,0.5450999999999999,0.582,CHANGED
lines,LINE:001795,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001797,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001797,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001797,max_i_ka,0.46115,0.451,CHANGED
lines,LINE:001797,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001798,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001798,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001798,max_i_ka,0.46115,0.451,CHANGED
lines,LINE:001798,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001801,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001801,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001801,max_i_ka,1.3938,1.372,CHANGED
lines,LINE:001801,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001804,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001804,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001804,max_i_ka,0.6014499999999999,0.686,CHANGED
lines,LINE:001804,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001817,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001817,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001817,max_i_ka,0.88435,1.089,CHANGED
