line_id,total_selections,total_solved_experiments,overall_frequency,states_selected,persistent_states,max_within_state_frequency
LINE:000718,0,264,0.0,0,0,0.0
LINE:000719,0,264,0.0,0,0,0.0
LINE:000720,0,264,0.0,0,0,0.0
LINE:000721,0,264,0.0,0,0,0.0
LINE:000722,0,264,0.0,0,0,0.0
LINE:000723,0,264,0.0,0,0,0.0
LINE:000724,0,264,0.0,0,0,0.0
LINE:000726,0,264,0.0,0,0,0.0
LINE:000730,0,264,0.0,0,0,0.0
LINE:000731,0,264,0.0,0,0,0.0
LINE:000732,0,264,0.0,0,0,0.0
LINE:000733,0,264,0.0,0,0,0.0
LINE:000734,0,264,0.0,0,0,0.0
LINE:000735,0,264,0.0,0,0,0.0
LINE:000736,0,264,0.0,0,0,0.0
LINE:000737,0,264,0.0,0,0,0.0
LINE:000738,0,264,0.0,0,0,0.0
LINE:000739,0,264,0.0,0,0,0.0
LINE:000740,0,264,0.0,0,0,0.0
LINE:000741,0,264,0.0,0,0,0.0
LINE:000742,0,264,0.0,0,0,0.0
LINE:000743,0,264,0.0,0,0,0.0
LINE:000744,0,264,0.0,0,0,0.0
LINE:000745,0,264,0.0,0,0,0.0
LINE:000746,0,264,0.0,0,0,0.0
LINE:000748,0,264,0.0,0,0,0.0
LINE:000749,0,264,0.0,0,0,0.0
LINE:000750,0,264,0.0,0,0,0.0
LINE:000751,0,264,0.0,0,0,0.0
LINE:000752,0,264,0.0,0,0,0.0
LINE:000753,0,264,0.0,0,0,0.0
LINE:000755,0,264,0.0,0,0,0.0
LINE:000756,0,264,0.0,0,0,0.0
LINE:000757,0,264,0.0,0,0,0.0
LINE:000758,0,264,0.0,0,0,0.0
LINE:000759,0,264,0.0,0,0,0.0
LINE:000761,0,264,0.0,0,0,0.0
LINE:000764,0,264,0.0,0,0,0.0
LINE:000765,0,264,0.0,0,0,0.0
LINE:000766,0,264,0.0,0,0,0.0
LINE:000769,0,264,0.0,0,0,0.0
LINE:000770,0,264,0.0,0,0,0.0
LINE:000771,0,264,0.0,0,0,0.0
LINE:000772,0,264,0.0,0,0,0.0
LINE:000774,0,264,0.0,0,0,0.0
LINE:000775,0,264,0.0,0,0,0.0
LINE:000776,0,264,0.0,0,0,0.0
LINE:000777,0,264,0.0,0,0,0.0
LINE:000778,0,264,0.0,0,0,0.0
LINE:000779,0,264,0.0,0,0,0.0
LINE:000780,0,264,0.0,0,0,0.0
LINE:000781,0,264,0.0,0,0,0.0
LINE:000782,0,264,0.0,0,0,0.0
LINE:000783,0,264,0.0,0,0,0.0
LINE:000784,0,264,0.0,0,0,0.0
LINE:000785,0,264,0.0,0,0,0.0
LINE:000786,0,264,0.0,0,0,0.0
LINE:000787,0,264,0.0,0,0,0.0
LINE:000788,0,264,0.0,0,0,0.0
LINE:000790,0,264,0.0,0,0,0.0
LINE:000791,0,264,0.0,0,0,0.0
LINE:000792,0,264,0.0,0,0,0.0
LINE:000793,0,264,0.0,0,0,0.0
LINE:000794,0,264,0.0,0,0,0.0
LINE:000795,0,264,0.0,0,0,0.0
LINE:000797,0,264,0.0,0,0,0.0
LINE:000799,207,264,0.7840909090909091,19,16,1.0
LINE:000800,0,264,0.0,0,0,0.0
LINE:000801,0,264,0.0,0,0,0.0
LINE:000802,0,264,0.0,0,0,0.0
LINE:000803,0,264,0.0,0,0,0.0
LINE:000804,0,264,0.0,0,0,0.0
LINE:000805,0,264,0.0,0,0,0.0
LINE:000806,0,264,0.0,0,0,0.0
LINE:000807,0,264,0.0,0,0,0.0
LINE:000808,0,264,0.0,0,0,0.0
LINE:000809,0,264,0.0,0,0,0.0
LINE:000810,0,264,0.0,0,0,0.0
LINE:000811,0,264,0.0,0,0,0.0
LINE:000812,0,264,0.0,0,0,0.0
LINE:000813,0,264,0.0,0,0,0.0
LINE:000814,0,264,0.0,0,0,0.0
LINE:000815,0,264,0.0,0,0,0.0
LINE:000816,0,264,0.0,0,0,0.0
LINE:000817,0,264,0.0,0,0,0.0
