sample_id,sample_type,line_id,line_name,scenario_family,variant_id,scenario_value,metric_max_loading_percent,over_80_loading_flag,over_100_loading_flag,top_congested_flag,binding_under_internal_dispatch_flag,asset_type,from_bus,to_bus,source_scenario_id,bottleneck_persistence_count,edge_id,source_node_id,target_node_id,policy_class,repeated_bottleneck,publication_allowed,prov_diagnostic_only,diagnostic_only
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|25|0.1,line_risk,25,ATPL_00120,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.600035252626787,False,False,False,False,cable,410,433,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,25,410,433,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|26|0.1,line_risk,26,ATPL_00121,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,5.221364511131628,False,False,False,False,cable,407,433,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,26,407,433,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|27|0.1,line_risk,27,ATPL_00139,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,5.619607800653107,False,False,False,False,cable,419,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,27,419,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|28|0.1,line_risk,28,ATPL_00140,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.5461675573970035,False,False,False,False,cable,415,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,28,415,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|29|0.1,line_risk,29,ATPL_00141,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,6.708597846074589,False,False,False,False,cable,407,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,29,407,421,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|30|0.1,line_risk,30,ATPL_00142,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,5.571799832606181,False,False,False,False,cable,431,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,30,431,407,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|31|0.1,line_risk,31,ATPL_00143,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.0068017720850455,False,False,False,False,cable,439,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,31,439,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|32|0.1,line_risk,32,ATPL_00147,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,41.95819840510048,False,False,False,False,mixed,542,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,1,32,542,544,MIXED_PARALLEL_EQUIVALENT_REQUIRED,True,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|36|0.1,line_risk,36,ATPL_00207,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.006745851044055,False,False,False,False,cable,439,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,36,439,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|42|0.1,line_risk,42,ATPL_00229,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,9.681765879993389,False,False,False,False,cable,429,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,42,429,407,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|43|0.1,line_risk,43,ATPL_00241,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.522098094972403,False,False,False,False,cable,425,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,43,425,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|44|0.1,line_risk,44,ATPL_00242,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.5222801478846222,False,False,False,False,cable,408,425,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,44,408,425,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|45|0.1,line_risk,45,ATPL_00243,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.6012087462028073,False,False,False,False,cable,435,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,45,435,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|46|0.1,line_risk,46,ATPL_00244,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,45.911698347050624,False,False,True,False,mixed,458,478,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,2,46,458,478,MIXED_PARALLEL_EQUIVALENT_REQUIRED,True,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|49|0.1,line_risk,49,ATPL_00256,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.294059688136392,False,False,False,False,cable,443,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,49,443,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|50|0.1,line_risk,50,ATPL_00257,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.7145793914123023,False,False,False,False,cable,407,449,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,50,407,449,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|52|0.1,line_risk,52,ATPL_00273,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,9.095637144032183,False,False,False,False,cable,407,419,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,52,407,419,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|53|0.1,line_risk,53,ATPL_00274,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.502879537555771,False,False,False,False,cable,408,431,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,53,408,431,,False,False,True,True
